Filename,TextGridLabel,duration,in_00,f0_00,f1_00,f2_00,f3_00,in_10,f0_10,f1_10,f2_10,f3_10,in_20,f0_20,f1_20,f2_20,f3_20,in_30,f0_30,f1_30,f2_30,f3_30,in_40,f0_40,f1_40,f2_40,f3_40,in_50,f0_50,f1_50,f2_50,f3_50,in_60,f0_60,f1_60,f2_60,f3_60,in_70,f0_70,f1_70,f2_70,f3_70,in_80,f0_80,f1_80,f2_80,f3_80,in_90,f0_90,f1_90,f2_90,f3_90,in_100,f0_100,f1_100,f2_100,f3_100
p04_carrier_2_pollito_hit,j,0.06431083576825392,79.7414109958817,113.55705752460975,367.92112767852433,2439.976955805192,2757.035756794628,80.21134900526532,115.44128890303672,369.3862494811867,2486.7794318287,2703.0943224415555,80.80793661483422,117.06645579937958,371.83355618002065,2540.152113518476,2640.78475070563,81.26924390382352,119.22200706498695,370.20437812729875,2574.984655082506,2601.1545111601517,81.52660708225982,121.84433481307252,364.6858401956714,2574.501290311396,2699.961991146191,81.77638330616183,124.14326504218252,360.66266960819104,2575.514923011458,2825.0506483189274,82.03442470900033,126.27148980517848,367.72174027462677,2628.672530704757,2874.7583713604904,82.15330987573962,128.1763559040999,376.9619484374231,2638.919741183605,2895.255915999363,82.21722728331984,130.21836202979264,386.66784793287303,2622.0488609872364,2907.3267334125135,82.49548906556673,132.30895979569334,388.8803914323504,2570.096458548429,2997.490516441935,82.90029329580769,134.46030899856356,393.72693058390576,2522.935551802789,3061.4664424589073
p04_carrier_2_pollito_hit,i,0.07138869406468351,82.90029329580769,134.46030899856356,393.72693058390576,2522.935551802789,3061.4664424589073,83.42561252084667,137.53281664043007,401.44477817386706,2474.4557916107588,3087.8014407113137,84.02443207906649,140.4328932178124,406.8067448631984,2417.354430232681,2893.8118229998236,84.62802141974804,142.7400776732539,410.90798755571194,2363.3999704415282,2863.3367349010855,84.86750905744083,144.00724399078564,415.6381806283298,2322.483196043914,2901.110460768579,84.93324487963383,145.55326859805893,423.5221463307219,2311.391797356838,2916.488050200676,85.12514798187492,147.16463805311386,424.3995788576539,2248.2617648766363,2867.8592619021497,85.17463397912238,148.0689685093001,419.17740479445376,2195.9631820576765,2804.7546533909117,84.56276643991926,148.64277174383864,409.5829685341097,2168.8942589388716,2739.875585681462,82.58983290179181,149.10317165067437,414.8307735738113,2208.0397521793334,2727.4701326340914,78.66504721279621,149.53257957165022,421.3400454199743,2209.4509242741215,2735.7920280022295
p04_carrier_2_portillo_hit,j,0.04940576517288908,77.30059180316204,125.39770583552239,368.6586921353284,2447.886354676821,2915.6829659656423,77.31688385388938,125.50325620970271,369.26880780068626,2488.977361913905,2882.40142106622,77.41238305036963,125.698698176157,373.5141119492096,2529.4678052317563,2746.266419986701,77.5673932160144,126.01741272221686,380.8450217505351,2523.4445608981273,2672.89199048148,77.7763004073274,126.33559436843609,392.622189756358,2450.396593183531,2689.9535199678885,78.0324327428871,126.65296877799528,406.1162082043948,2368.841827021345,2690.8184779708617,78.31111178705241,126.89594603677841,422.3455778862961,2273.7337069631462,2665.878444052438,78.59985925323461,127.01417962459207,437.41235715088004,2175.902272976642,2643.862403359189,78.85220575045062,127.10567250263402,450.42626960506357,2073.2620940577444,2627.009460999098,79.05645655351093,127.1474025042166,463.176915557854,1980.799213910191,2609.2485784479986,79.19941726986761,127.17865320737934,475.41079699501864,1908.3133032673984,2589.7055045792004
p04_carrier_2_portillo_hit,o,0.05254743146297769,79.19941726986761,127.17865320737934,475.41079699501864,1908.3133032673984,2589.7055045792004,79.23211387836966,127.18879300531114,487.32253705652806,1822.8161759505504,2570.0295559862598,79.13991345088145,127.04783234425695,497.23115845635243,1722.0201824510616,2552.374513498725,78.92269698790689,126.68301251806004,505.56827604906687,1621.364326973447,2516.3476163313962,78.70280667503147,126.11056682547765,511.9959346521446,1520.8787464925886,2457.9979586871805,78.50411449131622,125.3304415731999,515.5829589333076,1436.8504767331387,2447.182450042469,78.34496021713602,124.58872838303596,516.8308920038678,1366.3738107692307,2475.508449078083,77.96809933856892,123.87295650235706,518.5676006934833,1349.8948463494655,2478.8697050981445,77.25402999215737,123.72344933996526,520.5728892389707,1363.0873596645745,2468.5129546964463,75.92249977300328,123.82379704106361,520.7092424632905,1414.278942233917,2441.284972904128,74.53913875349436,124.51053711116825,520.1968661858077,1478.6604500976575,2408.2007876301413
p04_carrier_2_poyo_hit,j,0.04893917382347146,78.09385718557502,146.16197807100914,420.88571123659636,2154.4242675367605,2504.5596123988566,78.06157830779405,146.21685195073923,430.80444819264244,2276.9773223484485,2470.1036478905726,78.04165081115983,146.56597075585486,437.74896335929236,2347.7319535387087,2449.06220031501,78.0658103270839,147.05843442203792,432.6886455051394,2209.41292770277,2482.1656845014973,78.15499328216092,148.2179501478585,428.9763083920459,2091.1490167985303,2504.114969835517,78.41561214102896,149.35867995203373,432.60110521382137,2082.046208757968,2465.351332184902,78.86470113887992,150.37750819262365,436.32736990107253,2066.296440895496,2435.476452531636,79.55275781334576,151.3448099104694,440.85932026906517,1997.7677925089404,2476.1810120383766,80.33522388706562,151.79224243742576,445.52239231552295,1926.7115648445167,2516.9294260031,81.13563461496369,152.2284970204542,451.968522790513,1821.284044896907,2558.2741949096567,81.75130477283756,152.43720577139604,458.43346556873865,1717.8083140952713,2600.3492122724947
p04_carrier_2_poyo_hit,o,0.10330328641308639,81.75130477283756,152.43720577139604,458.43346556873865,1717.8083140952713,2600.3492122724947,82.24100238299567,152.61810555658624,473.8820483151154,1654.9098489238008,2737.580272793903,81.48060298106316,152.28154534026487,497.00735333916253,1507.7766827819844,2637.005248270821,79.9324432162444,151.48167782853218,541.1898477665536,1438.5327312405225,2645.883156562808,78.48004573845274,151.0002585964609,566.3368691157228,1307.7103070475057,2630.547104582994,78.0729880437938,151.35754068776217,599.8104695321708,1207.6102058065023,2642.957981067336,77.98422225008393,151.717215655518,566.8993650599759,1227.8098170409705,2775.142693106645,77.04527474315644,151.72667864977987,557.3201129962042,1215.8057460692971,2503.9443584604073,74.98029489341278,151.68771003285354,570.0008457136149,1223.106905456139,2537.4294229505617,72.20985215478034,151.65457059522075,565.682822444017,1199.593342714035,2498.8924178057837,68.8188754630839,151.46469237153974,568.9277708695347,1196.0408849401144,2512.0920290323584
p04_carrier_2_principe_hit,i,0.04810490136328949,76.6898562841011,161.4961152094199,424.94497955463794,1924.0778218149524,2841.3186609424574,78.66037388585079,159.84503425607386,444.767616860337,1908.423319138431,2772.171994638929,80.18729493284663,158.219005338803,441.69033578644974,1925.5126058083579,2722.1110211254518,81.2544838761207,156.6671267481068,439.56097590077655,1925.4187234630429,2677.57245791638,81.97816317815,155.1978822183195,440.9311153382502,1861.8886724931451,2653.421318643694,82.35515792778864,154.12161061875003,442.2823877852338,1807.902395133501,2631.3028860949844,82.4425092260722,153.09926184801392,443.5120948477952,1815.4093648487649,2622.2817609545336,81.95915961944178,152.59087293901752,444.70666980347755,1821.2984331269033,2613.6296299852534,80.82477073274667,152.09982091925718,445.304038637065,1799.68500499845,2611.2499830090037,78.73231369056212,152.6639993148317,445.9014074706525,1778.071576869997,2608.8703360327536,75.91330998279237,153.22817771040621,444.1172154998618,1826.953831260442,2635.5741116629592
p04_carrier_2_profeta_hit,e,0.07828949095978266,77.90423867128402,--undefined--,550.4336045927249,1666.687826749391,2736.9085224822384,81.41591786001447,134.79084415270304,555.663900362219,1617.5109360672104,2690.0030729004125,83.54834612698913,135.0118986289197,563.1129772702918,1679.5998360975877,2738.3684329433227,84.61936974089834,134.93263954735673,562.8865609995487,1712.9328498784125,2807.4140751624514,85.22770875684446,134.91196156987834,560.840492587623,1762.4626882136718,2744.0918782751924,85.32084427096484,135.09718202584637,569.4852581995448,1767.687437076113,2861.0466036809867,85.08380400300086,135.4923351198144,572.7346380223839,1740.7328953747635,2759.2315492753983,84.90398878557139,136.0117548395674,569.6639544106569,1718.4822362308287,2600.2851630044715,84.56976232582777,136.37847335394432,563.651487775614,1747.8705413381672,2713.8156288257896,83.4340553170099,136.57537358617623,550.5758473290512,1784.357860483371,2741.80569945578,80.60830293239587,136.6343804392609,549.4476140509604,1843.0639527793576,2783.354715155422
p04_carrier_2_programa_hit,a,0.11580153264536464,79.45902972208405,122.9881453100587,588.3180743520834,1536.6043815744451,2295.462552711606,81.98768841336899,124.02084554275439,634.6067914524235,1600.886788180343,2302.0396214413367,82.89093565589435,124.64345439929761,662.0013251701627,1695.621103073745,2361.265327572927,82.84509031227658,125.51779821600859,693.7015365065288,1741.9994641038913,2479.1795182434134,82.3744357288518,127.60173104862064,707.5145377532291,1662.0985961355568,2397.363538904027,81.54403082294967,129.37805326454364,730.8652022693178,1652.66681635219,2356.1850399361806,80.27078653543388,130.69361741169243,770.9240217083317,1651.5097512732648,2353.9209112123717,79.73799318437442,131.68244297691282,801.8988175323964,1661.5251658122029,2292.506600342001,80.02272980500511,132.186776983958,744.1399166251227,1564.8156060511214,2338.5995566819715,79.37147255461834,132.01538761960649,754.9687052307756,1534.328730626514,2252.4028638097293,77.5270644985596,131.54502274737567,721.8401141220587,1502.335226708236,2286.819888490045
p04_carrier_2_puerta_hit,u,0.04618165922092454,74.80088523120389,--undefined--,664.3136644962158,1332.1194670046757,3247.6753277886473,78.15812553205876,128.81235213241587,498.90719964092364,861.1374079629608,3069.8468718016543,80.69540927139367,128.88389353644348,497.942968750011,876.5037990832145,2808.554372698995,82.49165495960193,129.29348833819785,498.23871559571313,893.6838659651894,2566.320503680831,83.85106659233278,129.7012381598329,510.9724326421576,928.7677770362754,2512.2254137610785,84.74920849020312,129.91249201209274,523.7061496886022,963.8516881073615,2458.1303238413257,85.2071738633987,130.12374586435257,535.3924386021412,1020.0349832647497,2451.6667694753337,85.25422869223895,130.14408452894176,546.9957820233479,1077.8891317685068,2448.975140879646,84.90612064469997,130.1291195452243,574.9956278290331,1130.9952575394937,2468.658131751243,84.4909977504532,129.9277640657225,608.1376250301074,1182.6123430781097,2495.358087461873,84.0848257931574,129.6381212119891,629.3476412712806,1241.4544265344032,2498.8528943027036
p04_carrier_2_puerta_hit,e,0.04535207313506684,84.0848257931574,129.6381212119891,629.3476412712806,1241.4544265344032,2498.8528943027036,83.97758259812676,129.40557770696915,642.2304421339402,1304.0510492219455,2486.8312476227675,83.95774451127356,129.22404300186915,650.7319203601248,1357.5512784738955,2464.367397204909,83.95156370118542,129.16160229028782,652.7112156920109,1397.5103132994109,2426.358934292355,83.77490973258577,129.37792079699656,653.5450261135795,1444.3762400964088,2392.7298918548636,83.38641709148347,129.62355949920217,649.7054270079659,1519.421267684704,2376.968239190342,82.87151059240048,130.15056981415967,645.8658279023523,1594.4662952729993,2361.20658652582,82.17959018352114,130.67758012911713,642.4028556794493,1622.3222595776995,2360.3717658139867,81.12666851313872,130.83078144400133,638.9429646963749,1649.7921632267773,2359.659063706106,79.83330854130263,130.93749821184974,648.6570426857202,1660.7377137512372,2396.7932126527335,78.27653740551871,130.81242427847855,661.9384508790625,1667.2086959716141,2444.1757700460166
p04_carrier_2_refran_hit,a,0.14315468408707877,81.24111138222194,136.2155292619666,578.3900268527627,1672.7545623818492,2614.513995678235,82.84330266750933,133.7470758541486,622.0334766893989,1710.0897764704898,2644.86743969059,82.37008951511321,132.44221992686244,690.0577161581414,1712.2394700072575,2655.4804888727026,81.03353497995376,132.50489170406834,722.5844369022342,1651.6371789144055,2582.731846659741,80.50675674037595,133.13669369778034,693.190453698121,1595.986132796321,2364.6112496460505,80.57944704467728,134.21548380708606,760.2721556464643,1689.4636206040466,2220.779400237736,80.93731077449777,136.30269299861544,831.9249364467009,1686.1194162816516,1874.142643362284,80.97599973421269,138.2447540535336,790.343218119378,1635.9319875582055,2033.286548755095,79.88421148840301,140.40840619707316,798.5833147500234,1639.4064224289052,2141.5421518153134,79.52844517045462,142.40890967101828,792.4234916017411,1646.5290520959213,2719.041666141691,77.96812086496595,143.15406981358834,974.3720835045822,1673.0510661374803,3526.3506500279946
p04_carrier_2_relleno_hit,j,0.07680843781501046,77.27731657215935,111.83402712349003,422.26700474214977,2397.1292538201023,3023.562940685428,77.44942312587155,113.79664469164956,417.0143551617327,2350.290731024218,3070.706068041742,77.99221856270886,115.15491637463187,421.6085312120028,2357.26899184145,3029.0151139914315,78.55168905575374,116.11530976242,426.20725421787125,2402.0809710721105,2975.4965017372924,78.91645423066021,117.08641212999014,442.9895307276096,2421.231087040525,3084.1998092025087,79.08558350987985,119.60995969411536,462.57965652823185,2430.5545955874154,3034.331567574857,79.23015010644193,120.88113888544987,477.3805012219688,2436.4857694870802,2673.3753257190374,79.28244237161755,121.74114672818676,482.2799550694729,2390.8586611123337,2677.8720537728564,79.05238045385515,122.83277321744734,496.4460743069037,2376.141897812874,2672.203128329809,78.99066486263595,125.20021909842458,512.1502300880578,2379.466956628521,2647.600843863635,79.52743056180107,125.79986165293369,525.2142199265917,2351.622095130254,2591.5094859570418
p04_carrier_2_relleno_hit,e,0.09051893871642291,79.52743056180107,125.79986165293369,525.2142199265917,2351.622095130254,2591.5094859570418,80.07729539615234,126.02119529029326,532.8862569112258,2108.004373622912,2465.935735947242,79.50662346341058,126.48054793507438,557.1981597473192,1866.832639822629,2591.3289725132504,78.36714149565154,127.15580711564684,595.9000496850957,1822.3785667406355,2659.064270013835,77.58165238288956,127.55579504544191,621.5132577618652,1849.7051346129265,2586.8557704012924,77.13121481867103,127.52469050559371,639.8776195044704,1887.8852436609518,2532.2855540708288,76.44190229565378,127.29789749868056,653.1157429000983,1826.2700195325292,2541.476238075066,75.67418420815171,126.81727363808308,635.3279146594663,1806.8847444432517,2625.721683319538,75.45148200700635,126.80216833969722,579.2676666768633,1845.4814804639495,2677.641251283044,75.3817066959476,127.48373321463777,525.0902025415438,1816.7214629385942,2584.6368212679167,74.3168758784926,128.55423875408422,509.2651965653272,1732.4548551586222,2461.1503028317106
p04_carrier_2_reloj_hit,o,0.1127465001650112,77.90179814599452,115.42365730752486,551.7128047061531,1475.105657276544,2682.1086367956545,80.8528033783011,115.32374722231951,628.0964563988141,1488.474986489069,2871.9205417750854,80.9861750216788,115.55946568951512,641.7020520845592,1448.185534027926,2939.4952672092095,81.50708273578641,117.46482407014896,642.628860706923,1398.544473707476,2900.8766496024627,83.04610542926567,119.20596344626846,645.4856740268746,1329.871066427013,3007.5693399214297,83.9739146299041,121.15216087378344,650.1847514574979,1273.6353126923536,2907.7140339295283,83.49576939637687,123.39646110407502,638.4379756847261,1246.748427689429,2695.787007032446,82.53365171710753,125.98002602626117,633.0933697457,1183.2821060823417,2760.2333888213193,81.55577945328366,127.43595622450238,604.3535622807163,1160.2303013676571,2554.3070317885317,79.49814425953987,127.5354811100416,609.1087597522751,1149.6419204541724,2480.9366110410283,76.00533950745884,127.02674286708361,620.5404693359005,1116.859662855864,2443.4656514896337
p04_carrier_2_rollizo_hit,j,0.0557270742841115,70.18874499875854,111.71717418563625,237.19885913980434,1645.0103518275912,2578.6774256008844,70.4307551934366,112.41545598164545,226.08809684079688,1850.055054158791,2748.7411597789774,71.22378105767952,113.5064611840991,321.1341960534928,2289.6183523718987,3066.8793798519227,72.29244581866261,114.89026636625508,361.6131688324303,2391.3466260906935,3111.4806885781804,73.45636565878523,116.29836774903369,375.89699217213234,2330.89595562082,3024.769598463499,74.52142900406233,117.71338508196513,365.6169483085937,2416.225162553838,3125.0646522830234,75.51859616041294,119.45911331695162,352.9968265491378,2505.5710454167015,3211.195686389778,76.47179757275205,121.2271555393083,350.609661075096,2430.246406941367,2882.6867062182305,77.37734557310267,123.06757907883602,349.747934071619,2339.508158972335,2698.3108252963266,78.10199198207475,124.9895786821173,352.58002045671435,2211.4462180371975,2862.949855180826,78.55547210692474,127.0365021895727,359.22346692447405,2226.4164642801597,2958.6668495339254
p04_carrier_2_rollizo_hit,i,0.10294824587792761,78.55547210692474,127.0365021895727,359.22346692447405,2226.4164642801597,2958.6668495339254,78.76190863105872,131.0812982124421,379.465645322448,2463.9972891520865,3049.476378932881,79.12938063824313,135.78499319987304,396.56366175805454,2509.3605983502457,3092.7570490056264,79.95434222955068,139.68490593754183,403.84021085667126,2450.557680915641,3090.738439714308,80.77187120763274,143.03683883596318,410.6362073713733,2427.0011765585987,3098.007499822723,81.35704886711086,146.7731522603161,417.720218021639,2328.416892135088,2656.946666314603,82.50621330325887,150.5752801384074,427.83056015769534,2245.7624531949427,2674.806865966983,84.1712644762342,152.57506071304869,436.6191467485738,2249.6857034391996,2737.449275071069,84.86055620178912,153.34073708072228,440.03591229509294,2231.0228725751226,2776.1911894821164,83.45105520353655,153.3500423794759,435.4496487886979,2216.264983202258,2831.122867918342,79.74237351412643,152.76640341895754,436.8078060835058,2191.759958708833,2941.972329900622
p04_carrier_2_ropa_hit,o,0.08622546090188143,77.4620198782063,125.26876210407579,514.8369131433989,1316.759394306734,1729.101116645999,79.85262309513004,126.21367219817826,547.5542836623146,1339.8039986262793,1893.5184153718005,81.3914411258701,126.53400918812083,606.801510608877,1363.8719785933483,2208.376283349212,82.37728404014739,126.76476928219984,651.932290792266,1354.7865314163962,2466.9345626030495,83.04230436847877,127.2785281254151,664.040509534006,1322.4689150392774,2498.2905590078885,83.30164419420254,127.93262408889086,668.4162798438208,1277.4723639865272,2392.1827771385124,83.23460111080767,128.52627177756682,661.7135042104165,1241.0840527349555,2407.4150845928516,83.05049478638472,128.9020302817075,667.411914108876,1243.3310890037071,2446.0786415826133,82.53726680397264,129.01400034988006,661.3914803892011,1230.0780034528814,2467.0165610523295,80.84876795187208,128.94964221036102,646.1303670781947,1220.0001916685276,2434.531291779914,77.50901182768587,128.715818749559,657.6253652408701,1184.8832909179594,2435.199686446132
p04_carrier_2_rueda_hit,u,0.07069276130388014,82.41573466308803,124.18148258572587,566.7629937162842,1492.9269578430778,2284.519237287588,83.21399002343904,124.76613775705886,564.7025737163408,1534.5128820984546,2308.1674819123527,83.96122276355376,125.40053850516618,563.3849253075161,1584.8495808292193,2370.251282155378,84.43995083227453,126.0556975908533,559.9973668887849,1588.4523320870928,2430.2903311225027,84.57990865826378,126.72569324791634,566.8269897994513,1601.3062037999769,2495.448856891117,84.52888498658088,127.44377789291632,577.7425923798044,1626.448797734595,2535.266636512762,84.31995658526607,128.39486303817975,588.3121215953869,1672.035529983287,2508.7214051815936,83.85209819932649,129.55773019730145,601.4079058860316,1691.8143756796576,2547.5532761714408,83.30633570977717,130.9475702145018,618.6469103662455,1718.1821848263069,2603.3841965690913,83.39216568463279,132.13413108228627,638.2174882376854,1756.1827321048743,2675.12169896541,84.31771019209934,133.12654111134194,617.8191989091722,1791.4804524345193,2877.703339746093
p04_carrier_2_rueda_hit,e,0.10759097855869637,84.31771019209934,133.12654111134194,617.8191989091722,1791.4804524345193,2877.703339746093,85.37633302828388,134.15634322800608,603.3775620611407,1892.7149072437164,2959.4965995955217,84.4365487452559,135.0156342707737,619.5404427591576,1898.9150640182972,2805.9444173238967,83.88579210560407,135.96301715824546,612.2409174628356,1895.9807160928567,2893.4449652541502,83.95209230873137,136.6127031849807,589.3402175368077,1847.6109004583868,3235.3226884262112,83.34950800116414,137.08849319627103,593.8679904134531,1782.3670407755285,3107.665589435314,83.03414872555732,137.48824617416804,575.9659262833076,1793.6303157232494,2974.31786964033,83.13490679742564,137.79758151172567,558.0114384394277,1734.4462726471313,2859.375043525306,82.30491437098992,138.5919266054237,554.0185977529487,1736.4869101225268,2839.933915222715,80.83375265543617,139.74456924364193,544.2561970883467,1629.4742813380176,2782.755083288866,79.65663138042487,140.29952216008908,533.7678371773125,1574.0438372148662,2721.8604630019668
p04_carrier_2_sella_hit,j,0.058892892293096466,79.53925316024328,133.93042742722966,455.4412571236767,2438.8875512659583,2725.1957730137287,79.37194522486901,134.217088382798,445.1618659159414,2444.48265180658,2625.0179555352124,79.16876151009451,134.43186023380852,436.26531917921875,2432.8015209440955,2543.6809951655937,78.95931678814118,134.60370751426282,429.76535666044293,2354.846287196253,2557.3009028000747,78.91764520878748,134.69302429777767,427.15546080070584,2315.963324502928,2574.489404613667,79.00755027406493,134.88677129276113,428.54366695805356,2317.237752262585,2595.345607995434,79.17671249984227,135.138208229169,428.99934022864375,2335.7101644722775,2546.695123464646,79.33363280746461,135.69496393373177,429.8253763863905,2347.1567460613783,2491.156040919927,79.350243285229,136.27749967268392,436.3255146668324,2252.143396377504,2537.999378056526,79.47818558811421,136.88549910559078,461.2579472059887,2273.3112642794044,2846.6939788770073,79.99234597763848,136.97065338101268,513.9359398200622,2469.3631106409744,3549.545154308345
p04_carrier_2_sella_hit,a,0.08120962679559773,79.99234597763848,136.97065338101268,513.9359398200622,2469.3631106409744,3549.545154308345,81.9181574477991,136.47887421409885,549.5956963065198,2544.151399879378,3020.4291484361106,83.50135324800723,135.88926185958255,571.3316682310663,2302.973258123462,2698.3696132016935,83.69212699365377,134.785510102995,592.0072411638668,1977.9944235611695,2812.4166768409723,83.24385154512643,133.67277535244077,617.0488578806483,1921.960337302635,2765.982432465736,83.25461815204382,132.54005836422272,644.7357399030323,1823.8428391197742,2565.347831545449,83.4035454059026,131.36240841146332,666.8784691325134,1735.0097695576076,2823.368344687505,83.32134397427055,130.15322151823204,676.0875610461978,1659.884900934207,2772.0830300270663,82.95850251218395,129.0905560929071,672.1986434144652,1564.4775603617836,2547.4156402240023,81.68325849459478,128.31150755611642,669.6339270521428,1451.5850561757127,2429.0282435141444,78.6142249014576,127.9595803270867,720.2822213344541,1464.9470709524494,2411.707445808729
p04_carrier_2_sellito_hit,j,0.06555668737328335,77.35065443872068,114.22902501410789,346.17674005499373,2359.63893252009,3343.6814029914894,77.53822918863467,114.23541534454333,349.16793140340496,2383.4458050723206,3366.8744170548753,77.64885889336699,114.1561293275124,351.8594298843461,2443.119282716869,3387.3504474405395,77.64306651539061,114.05328379975433,346.3636962191323,2430.3503737671067,3389.4070886055024,77.5700129676837,113.93765126125989,345.16393647017685,2421.4766614939936,3413.15195880167,77.55318574066753,114.153961513683,347.6299891350544,2416.290702471625,3454.18906370778,77.6864744993258,114.55504250355654,347.9329368686521,2438.247773201785,3387.1693124149,77.95466194034047,115.22189898270643,349.22022078558257,2476.6960126167073,3401.7271964494635,78.34701625688312,115.84915779450499,351.5445899411317,2532.519156967698,3502.2343352529197,78.80695336699085,116.45685595198147,355.99534925490383,2522.9818076485067,3312.142620131691,79.25588011088203,117.04648685323583,361.40700588781107,2517.0194064444686,3213.1890471794045
p04_carrier_2_sellito_hit,i,0.09635611411094669,79.25588011088203,117.04648685323583,361.40700588781107,2517.0194064444686,3213.1890471794045,79.80426760847229,117.89245839860413,371.53599340994333,2530.453495426172,3239.291643946119,80.30113618356746,119.48822112577551,382.411196802032,2532.540160603221,3114.00026067756,80.71590322489887,121.59771147650389,390.00918143600256,2447.3349575425264,2772.2814119515633,80.9472782070733,124.52997515545549,394.7036373807796,2593.040467134019,2852.634202285918,80.80882922540331,127.7021280998828,404.3261030849766,2574.593902024593,3255.6604138623297,80.37180092779522,130.8049537697958,429.3475207391293,2497.7346481774925,2731.2062265374716,80.36434208214462,133.36287074934464,423.11963769572066,2114.184179023517,2812.914067133928,80.14957201290154,134.97710266549433,435.14254380630206,1898.6981149599324,2604.808511817355,77.97836862454092,135.7672056385794,414.0036771133876,2044.9585381243583,2737.8153369462284,72.92567035039994,135.78814341086874,378.16420554549177,2200.384977859387,2793.5037757082187
p04_carrier_2_sellito_hit1,j,0.08787673252449524,73.04676679350615,--undefined--,354.4960579027238,2473.6663576112865,3486.941906847271,72.96128195751358,107.17753144834973,354.75626879080664,2533.00680319092,3497.6172218645747,74.1620497572612,107.46463773298323,327.73020711056074,2501.4001342120123,3492.362792805771,74.71301179602702,108.38472646526367,332.6249439470546,2512.3514784600725,3441.0033646682746,74.98565059040821,109.73256307941661,336.61608590221505,2529.565738778028,3538.9631789270843,75.69568832375103,110.32551794997494,336.82147334416015,2551.16085761762,3511.540956227593,76.60973217388276,111.2768497708298,339.9120943096136,2591.388967316972,3454.955125957743,77.79184650874657,113.37395720519851,345.58667566967017,2614.755021053486,3472.1480351460623,79.16587184994135,116.31638471181998,346.7580194350403,2599.619165045379,3498.8791752878456,80.159721024923,119.50274316205437,344.5946387135629,2660.4690906050673,3539.993616747169,80.56924368645058,122.80630121464378,346.0274267434117,2626.7270188850316,3307.725142229864
p04_carrier_2_sellito_hit1,i,0.09368365626325781,80.56924368645058,122.80630121464378,346.0274267434117,2626.7270188850316,3307.725142229864,80.77575909414689,126.49197471884717,349.4973878543776,2609.996493753601,3373.647570724323,80.618885452661,130.27313729275977,365.7493051941461,2625.121191993481,3458.9456308205,80.6611394072465,133.8939436748638,379.71419175779613,2613.019094157006,3389.648357133996,81.34369228239164,137.2175072723059,390.4600733246243,2552.986255603561,3335.0559273272193,82.25249840061339,140.9825952980754,393.4904878513456,2522.5885372718967,3024.2701874085055,83.03372885338382,144.28919488636046,392.7602468708461,2441.171524944014,2802.4054576394233,83.26539246588044,147.45019775734136,395.0808874901946,2359.7919096877818,2778.7618938353767,83.14197092583443,149.29448779896757,395.96382960746826,2280.6183915165484,2808.4376129769266,81.65806359044808,149.96827121375892,396.17439360653987,2223.1575302557203,2828.27918255245,77.0523118611227,149.83733899619241,402.3107175404451,2263.5584366874273,2840.251182257949
p04_carrier_2_sencillez_hit,j,0.13670868573073314,75.8774162652836,115.58402036554104,334.544943156224,2528.3256654207457,3137.778274907298,75.83830481989918,115.64693752012018,322.85693752872385,2526.402635337116,3131.0938887601337,76.18202151434836,116.65013228273142,326.75795729798193,2510.2976899331384,3199.7872736731306,77.39849849334216,119.0780068827477,339.6932075537013,2506.158498374815,3348.0493275452272,78.75165332374937,120.96618187681499,359.3406928685782,2533.551275659613,3369.7353489547004,80.12078105235494,121.13295927989651,399.3383065183587,2539.9695264629213,3324.980859284452,81.2928448952554,121.63208623155349,451.83342246155127,2504.8572314665103,3192.3993238482135,82.64965298168805,124.63181864725779,491.0846646493959,2383.2874606985206,3066.075228966942,84.26682812281061,126.21634705623678,512.9091388139271,2292.6912788083387,3161.3128181916213,84.14504540493151,128.90674461545944,533.309864673419,2222.8383040229064,3203.646607194414,81.75632703665616,131.532427152217,569.4894020803652,2147.7056594529977,3101.5017244039736
p04_carrier_2_sencillez_hit,e,0.0895004507016176,81.75632703665616,131.532427152217,569.4894020803652,2147.7056594529977,3101.5017244039736,82.54476549064351,132.7491426653983,572.371199561286,2151.216484440754,2821.7066941221146,84.24154663883573,133.7809012067784,560.2211615798847,2031.547737068454,2893.466507910425,84.33636299726022,135.23274454240487,572.5327783435266,2116.4458807180895,2819.075715632342,83.3007646394311,136.7996998689541,600.6760868287258,2056.831908921255,2740.0527125335543,82.90539320361296,138.02431550560038,596.932554445921,1961.1398426759974,2697.0722363228883,82.02127075192782,138.8677779316978,604.8486678569425,1926.7110575027655,2678.7059905785914,80.32016028884568,140.0195242184464,605.916090533903,1894.781586756367,2752.458299740215,78.68252616567692,140.30746665044046,601.7308621095118,1856.6198920632528,3234.9513410785025,76.29428733412036,138.0657350737815,594.5338275407893,1831.3725362245314,3530.9009696505236,73.08133859750967,--undefined--,811.1750961978966,2015.017118597235,3153.524825093645
